name,title,content,url
Acupuncture,Acupuncture,"TRICARE doesn’t coveracupuncture. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 5/22/2025",https://www.tricare.mil/CoveredServices/IsItCovered/Acupuncture
Alterations to Living Space,Alterations to Living Space,"TRICARE doesn’t cover alterations to living space. While TRICARE doesn’t cover alterations to living space, you may qualify for benefits from the Department of Veterans Affairs.The VA provides up to $4,100 lifetime benefit for veterans with service-connected injuries and up to $1,200 for veterans with non-service-connected injuries to make home improvements necessary for: To learn more or to see if you qualify, go toHome Improvements/Structural Alterations. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 8/18/2025",https://www.tricare.mil/CoveredServices/IsItCovered/AlterationsLivingSpace
Alternative Treatments,Alternative Treatments,TRICARE doesn’t cover alternative treatments. Last Updated 9/16/2024,https://www.tricare.mil/CoveredServices/IsItCovered/AlternativeTreatments
Assisted Living Facility Care,Assisted Living Facility Care,"TRICARE doesn’t cover assisted living facility care or routine personal care associated with assisted living. Assisted living is a housing arrangement where people can live independently but can find help with tasks and have some services provided for them. These services may include meals, medication administration, personal care, housekeeping, medical services, recreational activities, and more. Last Updated 9/16/2024",https://www.tricare.mil/CoveredServices/IsItCovered/AssistedLivingFacilityCare
Augmentation Mammoplasty,Augmentation Mammoplasty,"TRICARE doesn’t cover augmentation mammoplasty or breast enhancement procedures. However, TRICARE does coverpost-mastectomy reconstructive breast surgery. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 9/16/2024",https://www.tricare.mil/CoveredServices/IsItCovered/AugmentationMammoplasty
Autopsy Services,Autopsy Services,"TRICARE doesn't cover autopsy services. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/AutopsyServices
Aversion Therapy,Aversion Therapy,"TRICARE doesn't cover aversion therapy. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/AversionTherapy
Camps,Camps,"TRICARE doesn't cover camps. (i.e., camps for diabetes or weight loss) This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/Camps
Charges for Missed Appointments,Charges for Missed Appointments,TRICARE doesn’t cover charges from appointments you miss. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/ChargesforMissedAppointments
Computerized Dynamic Posturography (CDP),Computerized Dynamic Posturography (CDP),"TRICARE doesn't cover computerized dynamic posturography. This list of covered services isn’t all inclusive. TRICARE covers services that aremedically necessaryTo be medically necessary means it is appropriate, reasonable, and adequate for your condition.and considered proven. There are special rules or limits on certain services, and some services areexcluded. Last Updated 3/20/2022",https://www.tricare.mil/CoveredServices/IsItCovered/ComputerizedDynamicPosturography
Cosmetic Drugs,Cosmetic Drugs,TRICARE doesn’t cover cosmetic drugs. Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/CosmeticDrugs
Domiciliary Care,Domiciliary Care,TRICARE doesn’t cover domiciliary care (care provided in an institution or home-like environment). Last Updated 3/20/2022,https://www.tricare.mil/CoveredServices/IsItCovered/DomiciliaryCare
